,Portfolio_STD,PNL_on_current_position_Closure,Cummulative_PNL,Portfolio_Max,Portfolio_Min
4/6/11,0.063937898,0.108396577,0,0.108396577,-0.078120814
2/7/11,0.085830448,0.112172198,0.108396577,0.112172198,-0.177547164
2/8/11,0.089145889,0.286485415,0.220568776,0.286485415,-0.177547164
2/9/11,0.123021672,0.127657068,0.50705419,0.358399284,-0.177547164
1/10/11,0.114196631,0.208914944,0.634711259,0.358399284,-0.177547164
4/6/16,0.21013136,0.195827821,1.528422683,0.684796479,-0.239901597
1/7/16,0.317373467,0.141564304,1.724250504,0.831614457,-0.239901597
1/8/16,0.281878959,0.108692725,1.865814808,0.831614457,-0.239901597
2/9/16,0.253334988,0.115900642,1.974507533,0.831614457,-0.239901597
2/10/16,0.235418371,0.253393843,2.090408175,0.831614457,-0.239901597
1/11/16,0.223915469,0.429446559,2.343802018,0.831614457,-0.239901597
1/12/16,0.21327479,0.21919723,2.773248577,0.831614457,-0.239901597
9/5/17,0.072335925,0.19385819,2.992445806,0.19385819,0.091559745
4/6/17,0.072850964,0.10147889,3.186303997,0.19385819,-0.033972503
2/7/17,0.083724977,0.105235457,3.287782886,0.19385819,-0.13153073
13/8/19,0.100867954,0.123372571,3.393018344,0.123372571,-0.269388857
1/9/19,0.120877623,0.264224312,3.516390915,0.264224312,-0.269388857