Year,GBP,SEK,DKK,JPY,NZD,AUD,CAD,NOK,CHF
1990,0.632935,8.886935,9.144147,187.710514,1.53859,1.365519,1.241965,9.599692,1.936289
1991,0.65153,9.305145,9.080259,186.886354,1.492342,1.348412,1.237998,9.491041,1.97426
1992,0.658168,9.190188,9.02495,185.767602,1.486938,1.32855,1.228098,9.220206,1.971282
1993,0.660507,9.176092,8.867198,182.499528,1.483369,1.312794,1.215102,9.213305,1.970372
1994,0.65571,9.21676,8.817723,179.158384,1.46415,1.301014,1.20701,9.006615,1.952026
1995,0.714632,9.371542,8.747383,174.542779,1.462862,1.310865,1.208841,9.091711,1.926041
1996,0.714617,9.268636,8.728955,170.553311,1.467213,1.312182,1.207821,8.995578,1.891189
1997,0.708919,9.333029,8.702545,168.506941,1.448473,1.308112,1.200974,9.059569,1.844334
1998,0.720742,9.396272,8.662036,166.556261,1.447791,1.3003,1.185448,9.312731,1.827663
1999,0.725819,9.3059,8.752578,162.03574,1.43466,1.29695,1.19081,9.283739,1.802836
2000,0.704306,9.160268,8.667529,154.717851,1.443906,1.311473,1.227563,9.082606,1.788109
2001,0.694382,9.400158,8.690645,149.724877,1.474387,1.326806,1.221139,9.173071,1.768379
2002,0.689877,9.413655,8.561606,143.774205,1.468962,1.33649,1.229333,9.05673,1.70976
2003,0.696596,9.495769,8.656778,139.516091,1.49747,1.353924,1.226338,9.206974,1.717018
2004,0.68841,9.302011,8.466842,134.363066,1.507677,1.366397,1.233195,9.133219,1.693209
2005,0.707619,9.479182,8.569438,129.551955,1.535,1.388356,1.213644,9.005204,1.686548
2006,0.69742,9.123665,8.298208,124.536829,1.481508,1.404001,1.205778,8.791878,1.600989
2007,0.7101,8.88369,8.172364,120.394201,1.505519,1.427582,1.212706,8.933784,1.533994
2008,0.701691,8.778986,7.944128,116.845814,1.490709,1.479073,1.23439,8.859281,1.493049
2009,0.709551,8.914179,7.725447,115.150066,1.470995,1.441497,1.201369,9.077231,1.46898
2010,0.701707,9.017736,7.585045,111.666587,1.496126,1.502766,1.221371,9.144245,1.464944
2011,0.706052,8.844042,7.466492,107.454281,1.485915,1.511052,1.239904,9.082736,1.397498
2012,0.701634,8.654768,7.564136,104.273972,1.495622,1.540115,1.244607,9.037085,1.354072
2013,0.695248,8.597681,7.354846,101.302673,1.445979,1.447123,1.224,9.029349,1.312477
2014,0.698444,8.727131,7.328674,103.052076,1.44073,1.452489,1.230358,9.278458,1.281761
2015,0.692551,8.854383,7.305357,103.469437,1.478014,1.473691,1.248042,9.932516,1.235788
2016,0.688603,8.822586,7.079856,105.519502,1.441008,1.450156,1.207045,10.0419,1.201964
2017,0.684601,8.852247,6.871679,105.101901,1.430959,1.477553,1.212304,9.74983,1.187726
2018,0.683551,8.860636,6.7691,103.706485,1.424703,1.472427,1.198165,9.597451,1.17868
2019,0.683982,8.877487,6.655992,103.625494,1.439815,1.474643,1.213289,9.763243,1.159406
2020,0.699569,8.765112,6.597435,102.835436,1.445397,1.471741,1.206376,10.026168,1.139488