,Realised_PNL
1970-01-01 00:00:00.000000021,0.0
1970-01-01 00:00:00.000000022,0.0
1970-01-01 00:00:00.000000023,0.0
1970-01-01 00:00:00.000000024,0.0
1970-01-01 00:00:00.000000025,0.0
1970-01-01 00:00:00.000000026,0.0
1970-01-01 00:00:00.000000027,0.0
1970-01-01 00:00:00.000000028,0.0
1970-01-01 00:00:00.000000029,0.0
1970-01-01 00:00:00.000000030,0.0
1970-01-01 00:00:00.000000031,0.0
1970-01-01 00:00:00.000000032,0.0
1970-01-01 00:00:00.000000033,0.0
1970-01-01 00:00:00.000000034,0.0
1970-01-01 00:00:00.000000035,0.0
1970-01-01 00:00:00.000000036,0.0
1970-01-01 00:00:00.000000037,0.0
1970-01-01 00:00:00.000000038,11400.0
1970-01-01 00:00:00.000000039,11400.0
1970-01-01 00:00:00.000000040,11400.0
1970-01-01 00:00:00.000000041,10575.0
1970-01-01 00:00:00.000000042,10575.0
1970-01-01 00:00:00.000000043,10575.0
1970-01-01 00:00:00.000000044,10575.0
1970-01-01 00:00:00.000000045,10575.0
1970-01-01 00:00:00.000000046,10575.0
1970-01-01 00:00:00.000000047,10575.0
1970-01-01 00:00:00.000000048,10575.0
1970-01-01 00:00:00.000000049,10575.0
1970-01-01 00:00:00.000000050,10575.0
1970-01-01 00:00:00.000000051,10575.0
1970-01-01 00:00:00.000000052,10575.0
1970-01-01 00:00:00.000000053,10575.0
1970-01-01 00:00:00.000000054,10575.0
1970-01-01 00:00:00.000000055,10575.0
1970-01-01 00:00:00.000000056,10575.0
1970-01-01 00:00:00.000000057,10575.0
1970-01-01 00:00:00.000000058,10575.0
1970-01-01 00:00:00.000000059,10575.0
1970-01-01 00:00:00.000000060,10575.0
1970-01-01 00:00:00.000000061,10575.0
1970-01-01 00:00:00.000000062,10575.0
1970-01-01 00:00:00.000000063,10575.0
1970-01-01 00:00:00.000000064,11654.999999999973
1970-01-01 00:00:00.000000065,11654.999999999973
1970-01-01 00:00:00.000000066,10934.999999999945
1970-01-01 00:00:00.000000067,10934.999999999945
1970-01-01 00:00:00.000000068,10994.99999999996
1970-01-01 00:00:00.000000069,10994.99999999996
1970-01-01 00:00:00.000000070,10860.000000000015
1970-01-01 00:00:00.000000071,10860.000000000015
1970-01-01 00:00:00.000000072,10260.000000000015
1970-01-01 00:00:00.000000073,10260.000000000015
1970-01-01 00:00:00.000000074,8670.00000000003
1970-01-01 00:00:00.000000075,8670.00000000003
1970-01-01 00:00:00.000000076,8670.00000000003
1970-01-01 00:00:00.000000077,-1049.9999999999982
1970-01-01 00:00:00.000000078,-1049.9999999999982
1970-01-01 00:00:00.000000079,-1049.9999999999982
1970-01-01 00:00:00.000000080,4035.0000000000155
1970-01-01 00:00:00.000000081,4035.0000000000155
1970-01-01 00:00:00.000000082,4035.0000000000155
1970-01-01 00:00:00.000000083,4035.0000000000155
1970-01-01 00:00:00.000000084,4035.0000000000155
1970-01-01 00:00:00.000000085,4035.0000000000155
1970-01-01 00:00:00.000000086,4035.0000000000155
1970-01-01 00:00:00.000000087,3375.000000000002
1970-01-01 00:00:00.000000088,3375.000000000002
1970-01-01 00:00:00.000000089,3375.000000000002
1970-01-01 00:00:00.000000090,3375.000000000002
1970-01-01 00:00:00.000000091,3375.000000000002
1970-01-01 00:00:00.000000092,3375.000000000002
1970-01-01 00:00:00.000000093,3375.000000000002
1970-01-01 00:00:00.000000094,2579.9999999999745
1970-01-01 00:00:00.000000095,2579.9999999999745
1970-01-01 00:00:00.000000096,2579.9999999999745
1970-01-01 00:00:00.000000097,2579.9999999999745
1970-01-01 00:00:00.000000098,2579.9999999999745
1970-01-01 00:00:00.000000099,4394.999999999961
1970-01-01 00:00:00.000000100,4394.999999999961
1970-01-01 00:00:00.000000101,4394.999999999961
1970-01-01 00:00:00.000000102,4394.999999999961
1970-01-01 00:00:00.000000103,4394.999999999961
1970-01-01 00:00:00.000000104,3359.9999999999472
1970-01-01 00:00:00.000000105,3359.9999999999472
1970-01-01 00:00:00.000000106,3359.9999999999472
1970-01-01 00:00:00.000000107,3359.9999999999472
1970-01-01 00:00:00.000000108,3359.9999999999472
1970-01-01 00:00:00.000000109,3359.9999999999472
1970-01-01 00:00:00.000000110,3359.9999999999472
1970-01-01 00:00:00.000000111,1814.99999999992
1970-01-01 00:00:00.000000112,1814.99999999992
1970-01-01 00:00:00.000000113,764.99999999992
1970-01-01 00:00:00.000000114,764.99999999992
1970-01-01 00:00:00.000000115,-1665.0000000000528
1970-01-01 00:00:00.000000116,-1665.0000000000528
1970-01-01 00:00:00.000000117,4050.000000000002
1970-01-01 00:00:00.000000118,4050.000000000002
1970-01-01 00:00:00.000000119,1905.0000000000427
1970-01-01 00:00:00.000000120,1905.0000000000427
1970-01-01 00:00:00.000000121,1905.0000000000427
1970-01-01 00:00:00.000000122,1905.0000000000427
1970-01-01 00:00:00.000000123,1335.0000000000155
1970-01-01 00:00:00.000000124,1335.0000000000155
1970-01-01 00:00:00.000000125,1335.0000000000155
1970-01-01 00:00:00.000000126,1335.0000000000155
1970-01-01 00:00:00.000000127,1335.0000000000155
1970-01-01 00:00:00.000000128,1335.0000000000155
1970-01-01 00:00:00.000000129,1335.0000000000155
1970-01-01 00:00:00.000000130,1335.0000000000155
1970-01-01 00:00:00.000000131,1335.0000000000155
1970-01-01 00:00:00.000000132,1335.0000000000155
1970-01-01 00:00:00.000000133,1335.0000000000155
1970-01-01 00:00:00.000000134,1335.0000000000155
1970-01-01 00:00:00.000000135,7785.0000000000155
1970-01-01 00:00:00.000000136,7785.0000000000155
1970-01-01 00:00:00.000000137,7785.0000000000155
1970-01-01 00:00:00.000000138,7785.0000000000155
1970-01-01 00:00:00.000000139,6764.999999999988
1970-01-01 00:00:00.000000140,6764.999999999988
1970-01-01 00:00:00.000000141,6764.999999999988
1970-01-01 00:00:00.000000142,6059.999999999947
1970-01-01 00:00:00.000000143,6059.999999999947
1970-01-01 00:00:00.000000144,6059.999999999947
1970-01-01 00:00:00.000000145,6059.999999999947
1970-01-01 00:00:00.000000146,6059.999999999947
1970-01-01 00:00:00.000000147,6059.999999999947
1970-01-01 00:00:00.000000148,6149.999999999934
1970-01-01 00:00:00.000000149,4979.999999999906
1970-01-01 00:00:00.000000150,4979.999999999906
1970-01-01 00:00:00.000000151,5084.999999999879
1970-01-01 00:00:00.000000152,5084.999999999879
1970-01-01 00:00:00.000000153,4574.999999999865
1970-01-01 00:00:00.000000154,4574.999999999865
1970-01-01 00:00:00.000000155,10064.99999999985
1970-01-01 00:00:00.000000156,10064.99999999985
1970-01-01 00:00:00.000000157,10064.99999999985
1970-01-01 00:00:00.000000158,10064.99999999985
1970-01-01 00:00:00.000000159,10064.99999999985
1970-01-01 00:00:00.000000160,10064.99999999985
1970-01-01 00:00:00.000000161,10064.99999999985
1970-01-01 00:00:00.000000162,10064.99999999985
1970-01-01 00:00:00.000000163,10064.99999999985
1970-01-01 00:00:00.000000164,10064.99999999985
1970-01-01 00:00:00.000000165,10064.99999999985
1970-01-01 00:00:00.000000166,10064.99999999985
1970-01-01 00:00:00.000000167,10064.99999999985
1970-01-01 00:00:00.000000168,10064.99999999985
1970-01-01 00:00:00.000000169,10064.99999999985
1970-01-01 00:00:00.000000170,10064.99999999985
1970-01-01 00:00:00.000000171,10064.99999999985
1970-01-01 00:00:00.000000172,10064.99999999985
1970-01-01 00:00:00.000000173,10064.99999999985
1970-01-01 00:00:00.000000174,15884.999999999878
1970-01-01 00:00:00.000000175,15884.999999999878
1970-01-01 00:00:00.000000176,15884.999999999878
1970-01-01 00:00:00.000000177,14639.99999999985
1970-01-01 00:00:00.000000178,14639.99999999985
1970-01-01 00:00:00.000000179,13124.999999999865
1970-01-01 00:00:00.000000180,13124.999999999865
1970-01-01 00:00:00.000000181,13124.999999999865
1970-01-01 00:00:00.000000182,13124.999999999865
1970-01-01 00:00:00.000000183,10559.99999999988
1970-01-01 00:00:00.000000184,10559.99999999988
1970-01-01 00:00:00.000000185,8999.999999999865
1970-01-01 00:00:00.000000186,8999.999999999865
1970-01-01 00:00:00.000000187,7724.999999999865
1970-01-01 00:00:00.000000188,7724.999999999865
1970-01-01 00:00:00.000000189,7724.999999999865
1970-01-01 00:00:00.000000190,7724.999999999865
1970-01-01 00:00:00.000000191,7724.999999999865
1970-01-01 00:00:00.000000192,7724.999999999865
1970-01-01 00:00:00.000000193,7724.999999999865
1970-01-01 00:00:00.000000194,7724.999999999865
1970-01-01 00:00:00.000000195,7724.999999999865
1970-01-01 00:00:00.000000196,7724.999999999865
1970-01-01 00:00:00.000000197,7724.999999999865
1970-01-01 00:00:00.000000198,7724.999999999865
1970-01-01 00:00:00.000000199,7724.999999999865
1970-01-01 00:00:00.000000200,7724.999999999865
1970-01-01 00:00:00.000000201,7724.999999999865
1970-01-01 00:00:00.000000202,7724.999999999865
1970-01-01 00:00:00.000000203,7724.999999999865
1970-01-01 00:00:00.000000204,7739.999999999852
1970-01-01 00:00:00.000000205,7739.999999999852
1970-01-01 00:00:00.000000206,7739.999999999852
1970-01-01 00:00:00.000000207,7739.999999999852
1970-01-01 00:00:00.000000208,7739.999999999852
1970-01-01 00:00:00.000000209,7739.999999999852
1970-01-01 00:00:00.000000210,7739.999999999852
1970-01-01 00:00:00.000000211,7739.999999999852
1970-01-01 00:00:00.000000212,7739.999999999852
1970-01-01 00:00:00.000000213,7739.999999999852
1970-01-01 00:00:00.000000214,7739.999999999852
1970-01-01 00:00:00.000000215,7739.999999999852
1970-01-01 00:00:00.000000216,7739.999999999852
1970-01-01 00:00:00.000000217,7739.999999999852
1970-01-01 00:00:00.000000218,7739.999999999852
1970-01-01 00:00:00.000000219,7739.999999999852
1970-01-01 00:00:00.000000220,7739.999999999852
1970-01-01 00:00:00.000000221,7739.999999999852
1970-01-01 00:00:00.000000222,7004.999999999838
1970-01-01 00:00:00.000000223,7004.999999999838
1970-01-01 00:00:00.000000224,7004.999999999838
1970-01-01 00:00:00.000000225,6524.999999999797
1970-01-01 00:00:00.000000226,5864.9999999997835
1970-01-01 00:00:00.000000227,5864.9999999997835
1970-01-01 00:00:00.000000228,4964.9999999997835
1970-01-01 00:00:00.000000229,4964.9999999997835
1970-01-01 00:00:00.000000230,4964.9999999997835
1970-01-01 00:00:00.000000231,4964.9999999997835
1970-01-01 00:00:00.000000232,4184.999999999743
1970-01-01 00:00:00.000000233,4184.999999999743
1970-01-01 00:00:00.000000234,4184.999999999743
1970-01-01 00:00:00.000000235,11039.999999999716
1970-01-01 00:00:00.000000236,11039.999999999716
1970-01-01 00:00:00.000000237,9314.999999999716
1970-01-01 00:00:00.000000238,9314.999999999716
1970-01-01 00:00:00.000000239,9314.999999999716
1970-01-01 00:00:00.000000240,9314.999999999716
1970-01-01 00:00:00.000000241,8699.99999999973
1970-01-01 00:00:00.000000242,8699.99999999973
1970-01-01 00:00:00.000000243,8699.99999999973
1970-01-01 00:00:00.000000244,6989.999999999785
1970-01-01 00:00:00.000000245,6989.999999999785
1970-01-01 00:00:00.000000246,6989.999999999785
1970-01-01 00:00:00.000000247,6989.999999999785
1970-01-01 00:00:00.000000248,6989.999999999785
1970-01-01 00:00:00.000000249,6989.999999999785
1970-01-01 00:00:00.000000250,6989.999999999785
1970-01-01 00:00:00.000000251,6989.999999999785
1970-01-01 00:00:00.000000252,9389.999999999785
1970-01-01 00:00:00.000000253,9389.999999999785
1970-01-01 00:00:00.000000254,9389.999999999785
1970-01-01 00:00:00.000000255,9389.999999999785
1970-01-01 00:00:00.000000256,8054.999999999772
1970-01-01 00:00:00.000000257,7319.999999999758
1970-01-01 00:00:00.000000258,7319.999999999758
1970-01-01 00:00:00.000000259,7319.999999999758
1970-01-01 00:00:00.000000260,7319.999999999758
1970-01-01 00:00:00.000000261,6644.999999999758
1970-01-01 00:00:00.000000262,6644.999999999758
1970-01-01 00:00:00.000000263,6644.999999999758
1970-01-01 00:00:00.000000264,6644.999999999758
1970-01-01 00:00:00.000000265,6644.999999999758
1970-01-01 00:00:00.000000266,6644.999999999758
1970-01-01 00:00:00.000000267,10964.999999999785
1970-01-01 00:00:00.000000268,11519.999999999825
1970-01-01 00:00:00.000000269,11519.999999999825
1970-01-01 00:00:00.000000270,11519.999999999825
1970-01-01 00:00:00.000000271,11519.999999999825
1970-01-01 00:00:00.000000272,11519.999999999825
1970-01-01 00:00:00.000000273,11519.999999999825
1970-01-01 00:00:00.000000274,11519.999999999825
1970-01-01 00:00:00.000000275,11519.999999999825
1970-01-01 00:00:00.000000276,11519.999999999825
1970-01-01 00:00:00.000000277,11519.999999999825
1970-01-01 00:00:00.000000278,11519.999999999825
1970-01-01 00:00:00.000000279,11519.999999999825
1970-01-01 00:00:00.000000280,11519.999999999825
1970-01-01 00:00:00.000000281,11519.999999999825
1970-01-01 00:00:00.000000282,11519.999999999825
1970-01-01 00:00:00.000000283,11519.999999999825
1970-01-01 00:00:00.000000284,11519.999999999825
1970-01-01 00:00:00.000000285,11519.999999999825
1970-01-01 00:00:00.000000286,11519.999999999825
1970-01-01 00:00:00.000000287,13889.999999999853
1970-01-01 00:00:00.000000288,13889.999999999853
1970-01-01 00:00:00.000000289,13889.999999999853
1970-01-01 00:00:00.000000290,13889.999999999853
1970-01-01 00:00:00.000000291,13889.999999999853
1970-01-01 00:00:00.000000292,13889.999999999853
1970-01-01 00:00:00.000000293,13889.999999999853
1970-01-01 00:00:00.000000294,13889.999999999853
1970-01-01 00:00:00.000000295,13889.999999999853
1970-01-01 00:00:00.000000296,13889.999999999853
1970-01-01 00:00:00.000000297,13889.999999999853
1970-01-01 00:00:00.000000298,13889.999999999853
1970-01-01 00:00:00.000000299,13889.999999999853
1970-01-01 00:00:00.000000300,13889.999999999853
1970-01-01 00:00:00.000000301,13889.999999999853
1970-01-01 00:00:00.000000302,13889.999999999853
1970-01-01 00:00:00.000000303,13409.99999999988
1970-01-01 00:00:00.000000304,12329.999999999907
1970-01-01 00:00:00.000000305,12329.999999999907
1970-01-01 00:00:00.000000306,12329.999999999907
1970-01-01 00:00:00.000000307,12329.999999999907
1970-01-01 00:00:00.000000308,12329.999999999907
1970-01-01 00:00:00.000000309,9449.999999999865
1970-01-01 00:00:00.000000310,9449.999999999865
1970-01-01 00:00:00.000000311,8414.99999999985
1970-01-01 00:00:00.000000312,8414.99999999985
1970-01-01 00:00:00.000000313,8414.99999999985
1970-01-01 00:00:00.000000314,7514.999999999851
1970-01-01 00:00:00.000000315,7514.999999999851
1970-01-01 00:00:00.000000316,5099.9999999998645
1970-01-01 00:00:00.000000317,5099.9999999998645
1970-01-01 00:00:00.000000318,5099.9999999998645
1970-01-01 00:00:00.000000319,5099.9999999998645
1970-01-01 00:00:00.000000320,5099.9999999998645
1970-01-01 00:00:00.000000321,6659.999999999878
